user_id,board_id,created_at,updated_at
4,3,2025-05-09T09:41:26.419869,2025-05-09T09:41:26.419876
5,8,2025-05-09T09:41:26.419882,2025-05-09T09:41:26.419885
6,7,2025-05-09T09:41:26.419891,2025-05-09T09:41:26.419894
8,6,2025-05-09T09:41:26.419899,2025-05-09T09:41:26.419902
8,5,2025-05-09T09:41:26.419908,2025-05-09T09:41:26.419910
4,1,2025-05-09T09:41:26.419914,2025-05-09T09:41:26.419915
2,10,2025-05-09T09:41:26.419918,2025-05-09T09:41:26.419920
3,1,2025-05-09T09:41:26.419925,2025-05-09T09:41:26.419927
7,9,2025-05-09T09:41:26.419930,2025-05-09T09:41:26.419932
5,8,2025-05-09T09:41:26.419936,2025-05-09T09:41:26.419937
9,9,2025-05-09T09:41:26.419940,2025-05-09T09:41:26.419942
3,8,2025-05-09T09:41:26.419945,2025-05-09T09:41:26.419947
7,7,2025-05-09T09:41:26.419949,2025-05-09T09:41:26.419951
3,6,2025-05-09T09:41:26.419954,2025-05-09T09:41:26.419956
9,7,2025-05-09T09:41:26.419959,2025-05-09T09:41:26.419960
8,1,2025-05-09T09:41:26.419963,2025-05-09T09:41:26.419965
10,10,2025-05-09T09:41:26.419969,2025-05-09T09:41:26.419972
8,10,2025-05-09T09:41:26.419978,2025-05-09T09:41:26.419981
6,6,2025-05-09T09:41:26.419986,2025-05-09T09:41:26.419989
4,2,2025-05-09T09:41:26.419995,2025-05-09T09:41:26.419997
