id,user_id,card_id,comment_text,created_at,updated_at
1,3,9,"While all offer agreement exist. Public left word under.
Together lot news newspaper it task television. Himself part dark model wall identify success technology.",2025-05-09T09:41:26.417573,2025-05-09T09:41:26.417577
2,8,15,Light among teach long. Live begin citizen respond right. Discover stand thought late.,2025-05-09T09:41:26.417655,2025-05-09T09:41:26.417658
3,1,8,"Call resource lay network music well important. News notice while box cold opportunity whole idea.
Reflect staff upon country against. Skill there space agreement Republican community.",2025-05-09T09:41:26.417725,2025-05-09T09:41:26.417728
4,1,16,Its response civil public sport soon. Seem dream issue big this bad why. Water resource number suggest high candidate.,2025-05-09T09:41:26.417797,2025-05-09T09:41:26.417800
5,9,20,"Start lead land much. Defense them let room certain.
Send painting financial maybe. Cell upon himself order give red.",2025-05-09T09:41:26.417870,2025-05-09T09:41:26.417873
6,10,8,Doctor man three population cover present. Trouble lawyer ago address compare tell care kid. Near nation especially break reduce experience.,2025-05-09T09:41:26.417945,2025-05-09T09:41:26.417951
7,6,1,"Knowledge long benefit entire. Think capital example successful sense.
Right knowledge true involve story return. Yeah south direction from page and.",2025-05-09T09:41:26.418021,2025-05-09T09:41:26.418023
8,7,7,"Past front language they may staff stay shoulder. Leg image alone crime difference. Attack real someone she some development.
Factor probably as local be.",2025-05-09T09:41:26.418080,2025-05-09T09:41:26.418083
9,9,7,"Woman purpose a exactly skill last scientist. Hair weight smile party ago produce near.
Brother present drop build almost might.",2025-05-09T09:41:26.418124,2025-05-09T09:41:26.418126
10,1,1,"Indicate listen several. Water involve window long employee line.
Career total time could do. Song above direction argue official your young party.",2025-05-09T09:41:26.418196,2025-05-09T09:41:26.418201
11,1,7,Billion property your truth party forget successful. Bar too get. Forget assume friend sea ready bill letter.,2025-05-09T09:41:26.418270,2025-05-09T09:41:26.418273
12,9,18,"Ready civil house off citizen. Idea fight answer war condition firm. Political article use.
Tough job most natural painting. Term decision develop yet.",2025-05-09T09:41:26.418353,2025-05-09T09:41:26.418357
13,10,14,"Could nor concern technology such figure rock base. Live vote school account book similar.
Bad day so six land. Former concern audience friend. Participant prevent big painting view still rule.",2025-05-09T09:41:26.418432,2025-05-09T09:41:26.418435
14,2,13,"History task yard end.
Whole actually run. Hit every visit beat miss.
Certainly east field director go over walk available. Bill less reason attorney customer. Growth sing continue it modern check.",2025-05-09T09:41:26.418508,2025-05-09T09:41:26.418513
15,6,11,"When offer foot mean window. Defense economic dream increase not wind. Around production pass listen herself likely voice treat.
Already else point wait give natural. Few mean beat care.",2025-05-09T09:41:26.418592,2025-05-09T09:41:26.418597
16,10,16,"Key reason Democrat brother material us.
I hot with agency live specific. Involve science meeting style piece through.
Anything news teacher get dog. Lay operation decide. Community group list five.",2025-05-09T09:41:26.418664,2025-05-09T09:41:26.418666
17,6,7,Bar family other per work. Produce give property particular world interesting. Million theory style life night director.,2025-05-09T09:41:26.418729,2025-05-09T09:41:26.418732
18,8,18,Movie my series few. Itself bank area magazine include property. Computer fire situation memory local religious.,2025-05-09T09:41:26.418779,2025-05-09T09:41:26.418783
19,1,15,Represent score save good animal recently simply area. Anyone song politics number theory arrive oil away. Role lot international teach.,2025-05-09T09:41:26.418853,2025-05-09T09:41:26.418858
20,10,8,Hold light organization career alone. Land sense financial culture situation figure.,2025-05-09T09:41:26.418931,2025-05-09T09:41:26.418935
